name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
South Africa,2020-08-01,24.3,4.1,13.6,24.3,3.5,13.4,-4,36.7,0,0,0,,0,0,24.1,9.3,186.2,1031.2,0,13.7,162.7,13.8,7,,2020-08-01T06:45:30,2020-08-01T17:41:55,0.42,Clear,Clear conditions throughout the day.,clear-day,"68264399999,FALA,68264099999,E0397,FAWB,68263099999,68263599999,68269099999,FAOR,FAWK"
South Africa,2020-08-02,25,4.8,14.5,25,3.9,14.4,-2.1,35.9,0,0,0,,0,0,24.1,12.7,59.4,1031.1,0,14.1,162.8,14.1,6,,2020-08-02T06:44:53,2020-08-02T17:42:24,0.46,Clear,Clear conditions throughout the day.,clear-day,"68264399999,FALA,68264099999,E0397,FAWB,68263099999,68263599999,68269099999,FAOR,FAWK"
South Africa,2020-08-03,23.4,4.1,13.3,23.4,4.1,13.2,-0.3,44.1,0,0,0,,0,0,14.7,8.6,33.2,1030.6,0,12.1,170.2,14.6,7,,2020-08-03T06:44:14,2020-08-03T17:42:52,0.5,Clear,Clear conditions throughout the day.,clear-day,"68264399999,FALA,68264099999,E0397,FAWB,68263099999,68263599999,68269099999,FAOR,FAWK"
South Africa,2020-08-04,23.8,2.8,12.7,23.8,2.8,12.5,-2.8,39.8,0,0,0,,0,0,18.4,10.8,271.7,1025.8,0.8,13.1,170.6,14.7,7,,2020-08-04T06:43:35,2020-08-04T17:43:21,0.52,Clear,Clear conditions throughout the day.,clear-day,"68264399999,FALA,68264099999,E0397,FAWB,68263099999,68263599999,68269099999,FAWK"
South Africa,2020-08-05,24.3,4,14,24.3,4,13.9,-2.2,37.5,0,0,0,,0,0,20.7,20.5,7.8,1024,3.8,13.9,168.7,14.5,7,,2020-08-05T06:42:55,2020-08-05T17:43:49,0.56,Clear,Clear conditions throughout the day.,clear-day,"68264399999,FALA,68264099999,E0397,FAWB,68263099999,F0671,68263599999,68269099999,68267299999,FAOR,FAWK"
South Africa,2020-08-06,23.1,6.5,13.8,23.1,5.3,13.6,2.2,49,0,0,0,,0,0,46.4,22.9,315.4,1023.9,14.1,12.5,167.5,14.5,7,,2020-08-06T06:42:14,2020-08-06T17:44:17,0.59,Clear,Clear conditions throughout the day.,clear-day,"68264399999,FALA,68264099999,FAGM,FAJB,E0397,FAWB,68263099999,68263599999,68269099999,FAOR,FAWK"
South Africa,2020-08-07,18,6.1,10.8,18,3.7,9.8,3.3,61.4,0.6,100,12.5,rain,0,0,51.8,29.7,113.3,1030.2,51.7,12,97.8,8.4,7,,2020-08-07T06:41:31,2020-08-07T17:44:45,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"FALA,68264399999,68264099999,FAGM,E0397,68263099999,FAWB,68263599999,68269099999,FAOR,FAWK"
South Africa,2020-08-08,19.3,5,10.8,19.3,2.5,10,4.2,66.4,0,0,0,,0,0,31.7,20.7,11.2,1030.4,20.7,12.3,166.7,14.4,7,,2020-08-08T06:40:48,2020-08-08T17:45:13,0.65,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"FALA,68264399999,68264099999,E0397,68263099999,FAWB,68263599999,68269099999,FAOR,FAWK"
South Africa,2020-08-09,23.6,3.3,13.2,23.6,3.3,13.1,3.5,56.4,0,0,0,,0,0,42.5,25.4,291.2,1024,0,11.3,170.9,14.7,7,,2020-08-09T06:40:03,2020-08-09T17:45:40,0.69,Clear,Clear conditions throughout the day.,clear-day,"FALA,68264399999,68264099999,FAGM,E0397,68263099999,FAWB,68263599999,68269099999,FAOR,FAWK"
South Africa,2020-08-10,23.7,3.5,13.6,23.7,2.1,13,-7.1,28.3,0,0,0,,0,0,33.3,23,191.8,1023.8,0,12.5,183.7,15.9,7,,2020-08-10T06:39:18,2020-08-10T17:46:08,0.72,Clear,Clear conditions throughout the day.,clear-day,"FALA,68264399999,68264099999,FAGM,E0397,68263099999,FAWB,68263599999,68269099999,FAOR,FAWK"
